VCD info: dumpfile dump.vcd opened for output.
timestamp,moisture_raw,nutrient_raw,temp_raw,moisture_avg,nutrient_avg,temp_avg,pump_on,dose_nutrient,alert_nutrient,alert_weed,alert_heat,alert_frost,alert_anomaly,status,crop_health,relocate_recommend
102,72,59,34,51,60,43,0,0,0,0,1,0,0,1,80,0
103,80,60,29,54,60,41,0,0,0,0,1,0,0,1,80,0
104,80,59,25,59,59,39,0,0,0,0,0,0,0,0,100,0
105,79,60,25,63,59,36,0,0,0,0,0,0,0,0,100,0
106,80,59,24,67,60,33,0,0,0,0,0,0,0,0,100,0
107,79,60,25,72,60,31,0,0,0,0,0,0,0,0,100,0
108,80,59,24,76,59,28,0,0,0,0,0,0,0,0,100,0
109,79,60,25,78,59,26,0,0,0,0,0,0,0,0,100,0
110,80,59,24,79,59,25,0,0,0,0,0,0,0,0,100,0
111,79,61,25,79,60,25,0,0,0,0,0,0,0,0,100,0
112,80,59,24,79,60,25,0,0,0,0,0,0,0,0,100,0
113,79,60,23,79,60,24,0,0,0,0,0,0,0,0,100,0
114,81,59,22,80,59,24,0,0,0,0,0,0,0,0,100,0
115,79,60,21,80,59,24,0,0,0,0,0,0,0,0,100,0
116,80,59,20,80,60,23,0,0,0,0,0,0,0,0,100,0
117,79,60,19,79,60,22,0,0,0,0,0,0,0,0,100,0
118,80,59,17,79,59,21,0,0,0,0,0,0,0,0,100,0
119,79,60,16,80,59,20,0,0,0,0,0,0,0,0,100,0
120,80,59,15,80,59,19,0,0,0,0,0,0,0,0,100,0
121,79,61,14,79,60,18,0,0,0,0,0,0,0,0,100,0
122,80,59,13,79,60,17,0,0,0,0,0,0,0,0,100,0
123,79,60,11,79,60,16,0,0,0,0,0,0,0,0,100,0
124,81,59,10,80,59,14,0,0,0,0,0,0,0,0,100,0
125,79,60,9,80,59,13,0,0,0,0,0,0,0,0,100,0
126,80,59,8,80,60,12,0,0,0,0,0,0,0,0,100,0
127,79,60,7,79,60,11,0,0,0,0,0,0,0,0,100,0
128,80,59,6,79,59,10,0,0,0,0,0,0,0,0,100,0
129,79,60,6,80,59,9,0,0,0,0,0,1,0,2,80,0
130,80,59,6,80,59,8,0,0,0,0,0,1,0,2,80,0
# CARETAKER TX #3: sev=CRITICAL event=FROST_RISK action=PROTECT_FROST health=205 ts=129 (packet=364cd00000000081)
C,129,CRITICAL,FROST_RISK,PROTECT_FROST,205,3
131,79,61,6,79,60,7,0,0,0,0,0,1,0,2,80,0
132,80,59,12,79,60,7,0,0,0,0,0,1,0,2,80,0
133,79,60,19,79,60,8,0,0,0,0,0,1,0,2,80,0
134,81,59,25,80,59,10,0,0,0,0,0,0,0,0,100,0
135,79,60,25,80,59,13,0,0,0,0,0,0,0,0,100,0
136,80,59,24,80,60,15,0,0,0,0,0,0,0,0,100,0
137,79,60,25,79,60,17,0,0,0,0,0,0,0,0,100,0
138,80,59,24,79,59,20,0,0,0,0,0,0,0,0,100,0
139,79,60,25,80,59,22,0,0,0,0,0,0,0,0,100,0
140,80,59,24,80,59,24,0,0,0,0,0,0,0,0,100,0
141,79,61,25,79,60,25,0,0,0,0,0,0,0,0,100,0
142,80,59,24,79,60,25,0,0,0,0,0,0,0,0,100,0
143,79,58,25,79,59,25,0,0,0,0,0,0,0,0,100,0
144,81,56,24,80,59,24,0,0,0,0,0,0,0,0,100,0
145,79,55,25,80,58,24,0,0,0,0,0,0,0,0,100,0
146,80,53,24,80,58,24,0,0,0,0,0,0,0,0,100,0
147,79,52,25,79,57,25,0,0,0,0,0,0,0,0,100,0
148,80,50,24,79,55,25,0,0,0,0,0,0,0,0,100,0
149,79,48,25,80,54,25,0,0,0,0,0,0,0,0,100,0
150,80,47,24,80,52,24,0,0,0,0,0,0,0,0,100,0
151,79,45,25,79,51,24,0,0,0,0,0,0,0,0,100,0
152,80,44,24,79,49,25,0,1,1,0,0,0,0,1,80,0
# CARETAKER TX #4: sev=WARNING event=NUTRIENT_LOW action=MANUAL_FERT health=205 ts=152 (packet=243cd00000000098)
C,152,WARNING,NUTRIENT_LOW,MANUAL_FERT,205,4
153,79,42,25,79,48,25,0,1,1,0,0,0,0,1,80,0
154,81,40,24,80,46,24,0,1,1,0,0,0,0,1,80,0
155,79,39,25,80,44,24,0,1,1,0,0,0,0,1,80,0
156,80,37,24,80,43,24,0,1,1,0,0,0,0,1,80,0
157,79,37,25,79,41,25,0,1,1,0,0,0,0,1,80,0
158,80,37,24,79,40,25,0,1,1,0,0,0,0,1,80,0
159,79,37,25,80,39,25,0,1,1,0,0,0,0,1,80,0
160,80,37,24,80,38,24,0,1,1,0,0,0,0,1,80,0
161,79,46,25,79,38,24,0,1,1,0,0,0,0,1,80,0
162,80,54,24,79,40,25,0,1,1,0,0,0,0,1,80,0
